 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4,QC5,QC6, Rh_d,QC7,QC8
   1681,         4.6190,        -0.0476,         4.5714,         2.3558,         2.0057,       157.5618,       200.9223,       187.8258,       251.0581,       273.7810,       456.9821,         2.5658,     83187.0234,     72139.4531
   1682,         4.6746,        -0.2510,         4.4236,         2.1226,         1.9004,       158.0827,       201.0673,       188.4142,       250.3676,       273.7014,       456.9801,         2.5231,     83185.4453,     72139.8906
   1683,         4.2909,         0.0505,         4.3413,         1.9908,         1.8502,       158.5364,       201.1997,       188.9518,       249.7019,       273.6233,       456.9755,         2.4911,     83183.9062,     72140.3672
   1684,         3.4921,         1.1762,         4.6683,         2.3980,         2.0382,       159.1915,       201.3736,       189.6538,       248.9458,       273.5361,       456.9775,         2.6301,     83182.2500,     72140.8516
   1685,         3.3972,         1.7742,         5.1714,         2.6158,         2.0997,       159.9530,       201.5682,       190.4384,       247.9062,       273.4225,       456.9951,         3.0717,     83180.2578,     72141.3906
   1686,         2.4799,         2.7150,         5.1950,         2.4551,         1.9697,       160.6317,       201.7473,       191.1600,       246.7801,       273.2997,       457.0101,         3.2253,     83178.2578,     72142.0000
   1687,         2.9455,         2.2355,         5.1810,         2.2888,         1.8366,       161.2250,       201.9104,       191.8168,       245.5888,       273.1696,       457.0223,         3.3444,     83176.1953,     72142.6562
   1688,         4.3463,         0.5976,         4.9439,         2.1897,         1.7690,       161.7668,       202.0618,       192.4269,       244.5319,       273.0519,       457.0082,         3.1749,     83174.1719,     72143.2188
   1689,         4.5715,        -0.2041,         4.3674,         1.9311,         1.6581,       162.1778,       202.1873,       192.9322,       243.7968,       272.9635,       456.9702,         2.7094,     83172.4062,     72143.7031
   1690,         3.7352,         0.1990,         3.9342,         1.5824,         1.5180,       162.4135,       202.2782,       193.2989,       243.2507,       272.8919,       456.9247,         2.4162,     83170.8438,     72144.1250
   1691,         2.2545,         1.2144,         3.4688,         1.2186,         1.3369,       162.4664,       202.3324,       193.5178,       242.8292,       272.8321,       456.8739,         2.1320,     83169.4297,     72144.5312
