 day,CH4emit_d,watertable,swc1,swc2,swc3,stsurf,st1,st2
    180,         0.2007,        44.6470,         0.0952,         0.0931,         0.0938,        14.9613,        13.9887,        13.0746
    181,         0.1857,        35.8150,         0.0953,         0.0934,         0.0939,        16.5688,        14.9658,        13.5746
    182,         0.2329,        30.0522,         0.0953,         0.0935,         0.0940,        18.4288,        16.1446,        14.2575
    183,         0.2212,        26.3952,         0.0953,         0.0932,         0.0938,        18.5442,        16.6450,        14.9917
    184,         0.2290,        19.3802,         0.0952,         0.0931,         0.0938,        17.7429,        16.3575,        15.1171
    185,         0.2558,        13.7459,         0.0952,         0.0931,         0.0938,        19.0204,        17.0208,        15.2921
    186,         0.2433,        10.0389,         0.0952,         0.0930,         0.0937,        19.5371,        17.5408,        15.7500
    187,         0.2472,         4.9187,         0.0952,         0.0930,         0.0937,        18.1771,        17.0096,        15.8658
    188,         0.2721,        -2.4028,         0.0952,         0.0930,         0.0937,        19.1825,        17.4467,        15.8779
    189,         0.2366,         0.8318,         0.0952,         0.0931,         0.0937,        18.6117,        17.2913,        16.0083
    190,         0.2547,        -6.8807,         0.0953,         0.0933,         0.0938,        19.1429,        17.5721,        16.1083
    191,         0.2488,       -24.3071,         0.0953,         0.0932,         0.0938,        19.3050,        17.6996,        16.2142
    192,         0.1730,       -35.6266,         0.0952,         0.0931,         0.0938,        18.7321,        17.5512,        16.3383
    193,         0.1555,       -43.1729,         0.0952,         0.0932,         0.0938,        17.3817,        16.9138,        16.2300
    194,         0.1558,       -49.1926,         0.0952,         0.0931,         0.0937,        15.9329,        15.9983,        15.7537
    195,         0.1182,       -53.8939,         0.0953,         0.0932,         0.0938,        16.1146,        15.8954,        15.4233
    196,         0.1414,       -52.8852,         0.0953,         0.0935,         0.0939,        17.8454,        16.5212,        15.3067
    197,         0.1302,       -53.3862,         0.0953,         0.0937,         0.0941,        19.2563,        17.3296,        15.6421
    198,         0.1150,       -53.7238,         0.0953,         0.0939,         0.0942,        19.9083,        17.8775,        16.1079
    199,         0.1471,       -54.6945,         0.0944,         0.0936,         0.0940,        20.9542,        18.5400,        16.5363
    200,         0.1479,        -3.1413,         0.0953,         0.0938,         0.0942,        19.0471,        18.0213,        16.9521
    201,         0.2351,        45.3120,         0.0953,         0.0936,         0.0941,        20.0162,        18.4821,        17.1179
    202,         0.2500,        36.5864,         0.0953,         0.0933,         0.0939,        20.1983,        18.8004,        17.5071
    203,         0.3165,        28.7220,         0.0952,         0.0932,         0.0938,        20.2046,        18.8504,        17.5679
    204,         0.2789,        30.8320,         0.0952,         0.0934,         0.0939,        18.7321,        18.2217,        17.5125
    205,         0.3199,        27.2730,         0.0953,         0.0933,         0.0939,        18.4454,        17.7783,        17.0212
    206,         0.3260,        20.6582,         0.0952,         0.0932,         0.0938,        19.0725,        18.0546,        16.9871
    207,         0.3005,        14.5934,         0.0952,         0.0932,         0.0938,        18.1942,        17.6408,        16.9400
    208,         0.3002,        14.5327,         0.0953,         0.0935,         0.0940,        18.7679,        17.8571,        16.8883
    209,         0.3123,        10.5825,         0.0953,         0.0934,         0.0939,        18.6117,        17.7675,        16.8608
    210,         0.2884,         5.9710,         0.0953,         0.0933,         0.0939,        18.5167,        17.7175,        16.8496
    211,         0.2921,         2.0356,         0.0953,         0.0933,         0.0939,        18.6296,        17.7437,        16.8358
    212,         0.2941,       -14.5907,         0.0953,         0.0932,         0.0938,        18.5254,        17.7646,        16.9096
    213,         0.2320,       -22.0494,         0.0953,         0.0933,         0.0939,        18.7025,        17.7871,        16.8854
    214,         0.2355,        50.0812,         0.0953,         0.0932,         0.0938,        20.1154,        18.7275,        17.4054
    215,         0.2487,        40.7483,         0.0952,         0.0931,         0.0938,        18.6258,        18.0471,        17.3975
    216,         0.3323,        32.6094,         0.0953,         0.0932,         0.0938,        19.1508,        18.2371,        17.3275
    217,         0.3013,        37.7557,         0.0953,         0.0934,         0.0939,        18.9688,        18.2275,        17.4208
    218,         0.2671,        49.8789,         0.0953,         0.0936,         0.0941,        18.0346,        17.6838,        17.1804
    219,         0.2986,        44.7230,         0.0953,         0.0937,         0.0941,        17.8588,        17.4817,        16.9525
    220,         0.2883,        41.8249,         0.0953,         0.0937,         0.0941,        17.5633,        17.2450,        16.7579
    221,         0.2935,        39.5890,         0.0953,         0.0936,         0.0940,        17.2425,        17.0633,        16.6737
    222,         0.2884,        31.8933,         0.0953,         0.0934,         0.0940,        16.1217,        16.3029,        16.2117
    223,         0.3003,        25.1076,         0.0953,         0.0934,         0.0940,        16.6396,        16.4075,        16.0183
    224,         0.2574,        29.4109,         0.0953,         0.0937,         0.0941,        17.3333,        16.7804,        16.1458
    225,         0.2834,        24.6827,         0.0953,         0.0937,         0.0941,        17.6721,        16.9775,        16.2696
    226,         0.2908,        19.1700,         0.0953,         0.0936,         0.0941,        17.5521,        16.9779,        16.3633
    227,         0.2919,        14.0955,         0.0953,         0.0936,         0.0940,        17.9646,        17.2142,        16.4717
    228,         0.2866,        11.6113,         0.0953,         0.0937,         0.0941,        18.4675,        17.5758,        16.7063
    229,         0.3046,         9.6054,         0.0952,         0.0934,         0.0940,        17.4000,        17.0950,        16.6675
    230,         0.2924,         5.0198,         0.0953,         0.0934,         0.0939,        17.6046,        17.1038,        16.5496
