 sdoy, GPP_d,NEE_d,Reco_d,QC(1),QC(6),QC(2),QC(7), QC(3),QC(4),QC678,pheno,QC(5),NPP_d,Rh_d,Ra_d
   8860,         0.7495,        -0.0381,         0.7114,       142.6600,       477.7057,        77.0494,     80783.4219,       196.6421,       356.6829,    154162.3750,       111.0000,       258.0922,         0.0000,         0.5062,         0.2052
   8861,         1.0611,        -0.3865,         0.6747,       142.2847,       477.7361,        76.9849,     80783.2344,       196.3839,       356.9812,    154162.2188,       111.0000,       258.1262,         0.0000,         0.4787,         0.1960
   8862,         1.9885,        -1.1462,         0.8423,       142.0000,       477.7688,        76.9390,     80783.0469,       196.1996,       357.2635,    154162.0625,       111.0000,       258.1589,         0.1795,         0.4919,         0.3504
   8863,         2.4594,        -1.4704,         0.9890,       141.7699,       477.8052,        76.9043,     80782.8594,       196.0603,       357.5226,    154161.9062,       111.0000,       258.1900,         0.2872,         0.5167,         0.4722
   8864,         2.5277,        -1.3660,         1.1618,       141.6226,       477.8441,        76.8865,     80782.6719,       195.9888,       357.7619,    154161.7500,       111.0000,       258.2197,         0.4518,         0.5378,         0.6240
   8865,         2.3901,        -1.1014,         1.2887,       141.5138,       477.8888,        76.8767,     80782.4766,       195.9494,       357.9612,    154161.6250,       111.0000,       258.2469,         0.5281,         0.5854,         0.7033
   8866,         1.8471,        -0.7022,         1.1449,       142.9878,       477.9302,        76.8348,     80782.2891,       195.7816,       358.1738,    154161.4688,       106.0000,       258.2744,         1.9501,         0.5718,         0.5731
   8867,         1.1232,        -0.0489,         1.0743,       144.3565,       477.9713,        76.7729,     80782.1016,       195.5334,       358.3892,    154161.3125,       106.0000,       258.3018,         1.7473,         0.5732,         0.5011
   8868,         0.3739,         0.7012,         1.0751,       145.7217,       478.0099,        76.7067,     80781.9141,       195.2690,       358.6281,    154161.1719,       106.0000,       258.3331,         1.7473,         0.5608,         0.5143
   8869,         1.2028,        -0.1472,         1.0557,       147.0891,       478.0506,        76.6401,     80781.7266,       195.0025,       358.8658,    154161.0312,       106.0000,       258.3652,         1.7588,         0.5669,         0.4888
   8870,         0.5880,         0.5356,         1.1235,       148.4471,       478.0927,        76.5724,     80781.5391,       194.7316,       359.0947,    154160.8750,       106.0000,       258.3965,         1.7473,         0.5824,         0.5411
   8871,         2.4557,        -1.0874,         1.3682,       150.0405,       478.1400,        76.5524,     80781.2500,       194.6524,       359.2968,    154160.7500,       106.0000,       258.4260,         2.2257,         0.6169,         0.7513
