 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4,QC5,QC6, Rh_d,QC7,QC8
   8903,         2.1421,         0.2121,         2.3542,         0.3309,         1.2173,       185.5934,        76.1458,       193.0577,       360.9550,       258.9307,       480.3187,         1.1369,     80765.5781,     72906.6172
   8904,         3.2451,        -0.4710,         2.7741,         1.0726,         1.6506,       185.6408,        76.1857,       193.2185,       360.8975,       258.9385,       480.3962,         1.1235,     80764.9297,     72906.8047
   8905,         3.4186,        -0.3830,         3.0356,         1.4568,         1.8731,       185.8802,        76.2641,       193.5331,       360.8074,       258.9443,       480.4796,         1.1625,     80764.2656,     72907.0000
   8906,         4.9489,        -1.7788,         3.1701,         1.4196,         1.8414,       186.1002,        76.3387,       193.8321,       360.5793,       258.9418,       480.5861,         1.3287,     80763.5625,     72907.2969
   8907,         4.8534,        -1.6539,         3.1995,         1.3713,         1.8672,       186.2956,        76.4083,       194.1114,       360.3555,       258.9394,       480.6888,         1.3322,     80762.8594,     72907.6016
   8908,         2.9621,         0.1231,         3.0852,         1.1157,         1.7533,       186.3626,        76.4524,       194.2879,       360.1341,       258.9371,       480.7880,         1.3319,     80762.2812,     72907.9688
   8909,         2.1380,         0.5753,         2.7132,         0.4008,         1.3846,       186.0725,        76.4249,       194.1784,       359.9155,       258.9349,       480.8845,         1.3287,     80761.7188,     72908.3438
   8910,         1.1547,         1.3036,         2.4583,         0.0000,         1.1843,       185.5829,        76.3573,       193.9087,       359.7468,       258.9358,       480.9705,         1.2739,     80761.0703,     72908.6328
   8911,         4.4067,        -1.3067,         3.0999,         1.1484,         1.7953,       185.6683,        76.4046,       194.0987,       359.5519,       258.9351,       481.0617,         1.3046,     80760.3516,     72908.9062
   8912,         5.0615,        -1.8305,         3.2310,         1.2628,         1.9175,       185.8106,        76.4634,       194.3344,       359.3513,       258.9340,       481.1543,         1.3135,     80759.6875,     72909.2031
   8913,         5.0891,        -1.5422,         3.5469,         1.5685,         2.1159,       186.1053,        76.5529,       194.6927,       359.0529,       258.9269,       481.2632,         1.4310,     80758.9141,     72909.5078
   8914,         5.2511,        -1.1223,         4.1288,         2.2459,         2.4919,       186.7371,        76.7099,       195.3207,       358.5877,       258.9101,       481.3988,         1.6369,     80758.0859,     72909.8828
   8915,         5.7215,        -1.8699,         3.8516,         1.7181,         2.2498,       187.1039,        76.8145,       195.7389,       358.1618,       258.8951,       481.5222,         1.6018,     80757.2578,     72910.2578
   8916,         5.6390,        -1.7710,         3.8680,         1.5803,         2.2342,       187.4010,        76.9061,       196.1046,       357.7122,       258.8781,       481.6471,         1.6338,     80756.4453,     72910.6328
   8917,         5.3153,        -1.5649,         3.7504,         1.3480,         2.1687,       187.5813,        76.9752,       196.3806,       357.3074,       258.8632,       481.7617,         1.5817,     80755.6641,     72911.0078
   8918,         4.5690,        -0.5496,         4.0193,         1.7516,         2.4180,       187.9628,        77.0852,       196.8199,       356.8848,       258.8468,       481.8781,         1.6014,     80754.8438,     72911.3828
   8919,         5.8474,        -1.5900,         4.2574,         1.8271,         2.4641,       188.3807,        77.1998,       197.2773,       356.3207,       258.8234,       482.0144,         1.7933,     80753.8828,     72911.8203
   8920,         5.7058,        -1.4408,         4.2650,         1.7278,         2.4661,       188.7482,        77.3045,       197.6951,       355.7609,       258.7999,       482.1457,         1.7989,     80752.9531,     72912.2578
   8921,         5.9856,        -1.2289,         4.7567,         2.3278,         2.7891,       189.4140,        77.4692,       198.3524,       355.0652,       258.7681,       482.2974,         1.9677,     80751.9141,     72912.7344
